football_data_Date,football_data_Time,football_data_HomeTeam,football_data_AwayTeam,football_data_FTHG,football_data_FTAG,football_data_FTR,football_data_HTHG,football_data_HTAG,football_data_HTR,football_data_Referee,football_data_HS,football_data_AS,football_data_HST,football_data_AST,football_data_HF,football_data_AF,football_data_HC,football_data_AC,football_data_HY,football_data_AY,football_data_HR,football_data_AR,football_data_B365H,football_data_B365D,football_data_B365A,football_data_BWH,football_data_BWD,football_data_BWA,football_data_tournament_season
2023-10-08,15:00,Aberdeen,St Johnstone,0.0,0.0,D,0.0,0.0,D,D Munro,10.0,9.0,3.0,0.0,11.0,11.0,5.0,3.0,0.0,2.0,0.0,0.0,1.57,4.0,6.0,1.58,3.8,5.5,23/24
2023-10-21,15:00,Kilmarnock,Livingston,3.0,1.0,H,2.0,1.0,H,C Napier,13.0,8.0,5.0,1.0,9.0,10.0,5.0,4.0,2.0,1.0,0.0,0.0,1.95,3.4,4.0,1.93,3.3,3.9,23/24
2023-10-21,15:00,Rangers,Hibernian,4.0,0.0,H,2.0,0.0,H,D Robertson,23.0,7.0,8.0,1.0,12.0,5.0,5.0,4.0,1.0,2.0,0.0,0.0,1.36,5.25,8.0,1.39,4.8,7.0,23/24
2023-10-22,14:15,Hearts,Celtic,1.0,4.0,A,0.0,2.0,A,N Walsh,13.0,19.0,6.0,7.0,16.0,11.0,3.0,5.0,2.0,1.0,0.0,0.0,6.5,4.75,1.45,6.0,4.6,1.47,23/24
2023-10-24,19:45,Dundee,Ross County,0.0,0.0,D,0.0,0.0,D,C Steven,15.0,6.0,9.0,4.0,7.0,13.0,7.0,4.0,1.0,6.0,0.0,0.0,2.0,3.5,3.6,1.98,3.4,3.6,23/24
2023-10-28,15:00,Hibernian,Celtic,0.0,0.0,D,0.0,0.0,D,A Muir,6.0,21.0,1.0,4.0,4.0,12.0,3.0,6.0,0.0,2.0,0.0,0.0,6.0,5.0,1.45,6.0,4.6,1.46,23/24
2023-10-28,15:00,Livingston,Dundee,0.0,2.0,A,0.0,0.0,D,W Collum,4.0,18.0,0.0,7.0,13.0,15.0,1.0,5.0,0.0,0.0,1.0,0.0,2.45,3.3,2.9,2.45,3.2,2.85,23/24
2023-10-28,15:00,Motherwell,Ross County,3.0,3.0,D,0.0,0.0,D,G Grainger,13.0,13.0,3.0,6.0,10.0,9.0,6.0,4.0,2.0,2.0,0.0,0.0,1.91,3.75,3.8,1.9,3.5,3.8,23/24
2023-10-28,15:00,St Mirren,St Johnstone,4.0,0.0,H,1.0,0.0,H,D Dickinson,9.0,14.0,5.0,3.0,9.0,5.0,4.0,8.0,2.0,0.0,0.0,0.0,1.57,3.8,7.0,1.55,3.8,6.0,23/24
2023-10-29,12:00,Kilmarnock,Aberdeen,2.0,0.0,H,1.0,0.0,H,K Clancy,19.0,5.0,8.0,1.0,12.0,14.0,9.0,3.0,1.0,3.0,0.0,0.0,2.55,3.2,2.88,2.45,3.2,2.8,23/24
2023-10-29,15:00,Rangers,Hearts,2.0,1.0,H,0.0,1.0,A,J Beaton,28.0,5.0,5.0,1.0,6.0,13.0,11.0,2.0,1.0,5.0,0.0,0.0,1.3,6.0,8.5,1.31,5.5,8.25,23/24
2023-10-31,19:45,Hibernian,Ross County,2.0,2.0,D,1.0,0.0,H,G Irvine,7.0,8.0,2.0,3.0,12.0,16.0,5.0,5.0,1.0,2.0,0.0,0.0,1.57,4.33,5.5,1.55,4.1,5.5,23/24
2023-11-01,19:45,Celtic,St Mirren,2.0,1.0,H,1.0,1.0,D,J Beaton,23.0,6.0,8.0,2.0,9.0,12.0,12.0,2.0,2.0,2.0,0.0,0.0,1.2,7.0,13.0,1.2,6.75,12.5,23/24
